iter	Passed	Remaining
549	15789	12918
550	15813	12886
551	15844	12858
552	15869	12827
553	15900	12800
554	15931	12773
555	15958	12743
556	15985	12714
557	16014	12685
558	16046	12659
559	16070	12626
560	16100	12598
561	16131	12572
562	16158	12541
563	16184	12511
564	16211	12481
565	16242	12454
566	16266	12422
567	16296	12394
568	16326	12366
569	16354	12337
570	16381	12307
571	16410	12279
572	16439	12251
573	16471	12224
574	16502	12197
575	16533	12170
576	16559	12139
577	16585	12109
578	16613	12079
579	16644	12052
580	16668	12020
581	16694	11990
582	16726	11963
583	16750	11932
584	16778	11902
585	16808	11874
586	16837	11846
587	16866	11817
588	16893	11788
589	16922	11759
590	16948	11729
591	16974	11698
592	16999	11667
593	17032	11641
594	17055	11608
595	17082	11579
596	17112	11551
597	17140	11522
598	17164	11490
599	17196	11464
600	17225	11435
601	17251	11405
602	17279	11376
603	17310	11349
604	17340	11321
605	17363	11289
606	17391	11259
607	17421	11232
608	17447	11202
609	17472	11171
610	17502	11143
611	17529	11113
612	17554	11082
613	17579	11051
614	17609	11023
615	17645	10999
616	17679	10974
617	17709	10946
618	17736	10916
619	17763	10887
620	17793	10859
621	17822	10830
622	17850	10801
623	17877	10772
624	17906	10743
625	17932	10713
626	17961	10685
627	17987	10654
628	18025	10632
629	18055	10603
630	18079	10572
631	18106	10542
632	18139	10516
633	18167	10488
634	18194	10458
635	18225	10430
636	18250	10400
637	18281	10372
638	18310	10344
639	18340	10316
640	18365	10285
641	18396	10258
642	18420	10227
643	18449	10198
644	18476	10169
645	18508	10142
646	18536	10113
647	18562	10083
648	18593	10055
649	18624	10028
650	18648	9997
651	18674	9967
652	18704	9939
653	18734	9911
654	18764	9883
655	18795	9856
656	18823	9827
657	18849	9797
658	18878	9768
659	18910	9741
660	18951	9719
661	19008	9705
662	19036	9675
663	19062	9646
664	19094	9619
665	19123	9590
666	19145	9558
667	19174	9529
668	19206	9502
669	19232	9472
670	19258	9442
671	19288	9414
672	19319	9386
673	19343	9356
674	19370	9326
675	19407	9301
676	19439	9274
677	19466	9245
678	19493	9215
679	19520	9185
680	19544	9155
681	19572	9126
682	19599	9096
683	19627	9067
684	19652	9037
685	19678	9007
686	19704	8977
687	19731	8948
688	19757	8918
689	19787	8889
690	19819	8863
691	19855	8837
692	19886	8809
693	19916	8781
694	19946	8753
695	19974	8724
696	20005	8696
697	20030	8666
698	20057	8636
699	20085	8608
700	20121	8582
701	20152	8554
702	20181	8526
703	20210	8497
704	20241	8469
705	20269	8440
706	20297	8411
707	20328	8384
708	20356	8355
709	20379	8324
710	20417	8299
711	20448	8271
712	20476	8242
713	20508	8214
714	20534	8185
715	20562	8156
716	20592	8127
717	20621	8099
718	20643	8067
719	20672	8039
720	20703	8011
721	20728	7981
722	20759	7953
723	20792	7926
724	20820	7897
725	20844	7866
726	20872	7838
727	20903	7810
728	20930	7780
729	20956	7751
730	20990	7724
731	21018	7695
732	21049	7667
733	21074	7637
734	21106	7609
735	21132	7579
736	21158	7550
737	21193	7523
738	21219	7494
739	21246	7465
740	21275	7436
741	21305	7408
742	21332	7378
743	21358	7349
744	21384	7319
745	21414	7291
746	21447	7264
747	21475	7235
748	21504	7206
749	21530	7176
750	21559	7148
751	21587	7119
752	21619	7091
753	21645	7061
754	21672	7032
755	21702	7004
756	21731	6976
757	21763	6948
758	21794	6920
759	21819	6890
760	21847	6861
761	21878	6833
762	21906	6804
763	21937	6776
764	21967	6748
765	21998	6720
766	22023	6690
767	22052	6661
768	22082	6633
769	22109	6604
770	22133	6574
771	22162	6545
772	22194	6517
773	22219	6487
774	22245	6458
775	22278	6430
776	22308	6402
777	22332	6372
778	22361	6343
779	22389	6315
780	22421	6287
781	22446	6257
782	22474	6228
783	22503	6199
784	22528	6170
785	22557	6141
786	22585	6112
787	22611	6083
788	22637	6053
789	22666	6025
790	22698	5997
